TranscriptionFactor,TargetGene,ModeOfRegulation,PMID
CDCA7L,MAOB,Repression,20980443
CRTC1,PPARGC1A,Activation,10893434
DNMT1,RELN,Repression,19029285
EAPP,MAOB,Repression,20980443
EGR1,GDNF,Unknown,9729303
HDAC1,RELN,Repression,19029285
HIF1A,SLC29A1,Repression,19853583
HMGA1,SLC2A3,Activation,22706202
MECP2,RELN,Repression,19029285
MEF2A,PPARGC1A,Unknown,18222924
MITF,PPARGC1A,Activation,23416000
NFE2L2,BRCA1,Activation,23353771
NFE2L2,CAT,Activation,22493435
NFE2L2,CFTR,Activation,20309604
NFE2L2,CFTR,Repression,20309604
NFE2L2,CXCL8,Activation,21925595
NFE2L2,GCLC,Repression,22459801
NFE2L2,GCLC,Unknown,16054171
NFE2L2,GSS,Unknown,15890065;22213475
NFE2L2,GSTA1,Activation,16551619
NFE2L2,GSTA1,Repression,22459801
NFE2L2,HBB,Unknown,15206576
NFE2L2,HMOX1,Activation,16551619;21982894;22484158
NFE2L2,HMOX1,Repression,22459801
NFE2L2,HMOX1,Unknown,17942419;24035498
NFE2L2,KRT16,Activation,18629308
NFE2L2,MTHFR,Activation,16551619
NFE2L2,NQO1,Activation,11013233
NFE2L2,NQO1,Repression,22459801
NFE2L2,NQO1,Unknown,11035254
NFE2L2,SDHB,Unknown,9492280
NFE2L2,SOD1,Activation,22493435
NFE2L2,SOD2,Activation,22493435
NFE2L2,UGT2B7,Activation,18622263
NFKB1,GDNF,Unknown,9729303
NFYA,OGG1,Activation,14688259
NFYA,OGG1,Unknown,17989114
NHLH2,MAOA,Activation,22169038
NR3C1,MAOA,Unknown,16728402
PPARGC1A,ALDOB,Activation,16891307
PPARGC1A,APOA5,Activation,16891307
PPARGC1A,APOC3,Activation,16891307
PPARGC1A,CYP2C9,Unknown,16882880
PPARGC1A,CYP7A1,Activation,16891307
PPARGC1A,MFN2,Activation,17828388
PPARGC1A,MLYCD,Unknown,16434556
PPARGC1A,OTC,Activation,16891307
PPARGC1A,PCK2,Activation,16891307
RARA,MAOB,Unknown,19401466
SP1,HTT,Activation,22399227
SP1,MAOB,Unknown,11259630;20980443
SP1,SLC29A1,Repression,18064606
SP3,MAOB,Unknown,11259630
SP4,MAOB,Activation,11259630
STAT2,RCAN1,Unknown,22426484
STAT3,FAAH,Activation,12556536
STAT6,CNR1,Activation,18156315
TBR1,RELN,Unknown,19165920
TFAP2A,HTT,Unknown,11483245
TP53,OGG1,Activation,16293709
TP53,PPARGC1A,Unknown,19139068
ZBTB7A,SLC2A3,Repression,25184678
